Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.637 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 159: NodeDownloadProgress(event_id='6a8742e5-8be2-4be0-bc1f-db11b3bac6d5' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.638 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6a8742e5-8be2-4be0-bc1f-db11b3bac6d5' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.641 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 160: NodeDownloadProgress(event_id='5bc0c810-0c2a-4194-a68d-64ed0675feca' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.641 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='5bc0c810-0c2a-4194-a68d-64ed0675feca' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.646 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 161: NodeDownloadProgress(event_id='0d0f5966-3c44-42ac-93e7-a90b6a37ed54' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.648 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='0d0f5966-3c44-42ac-93e7-a90b6a37ed54' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.667 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 162: NodeDownloadProgress(event_id='98d35151-514c-47e9-aa07-f963206bcfcf' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.668 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='98d35151-514c-47e9-aa07-f963206bcfcf' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.684 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 163: NodeDownloadProgress(event_id='b068a772-fe67-4d23-b64a-9907ee15e4a3' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.685 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='b068a772-fe67-4d23-b64a-9907ee15e4a3' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.689 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 164: NodeDownloadProgress(event_id='e4b029eb-f213-40ef-a0ae-4083cb5aae95' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.690 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='e4b029eb-f213-40ef-a0ae-4083cb5aae95' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.719 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 165: NodeDownloadProgress(event_id='13a8acaf-956a-478f-9e5c-0985bb46d76d' download_progress=DownloadPendi
