Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: State 'stop-sigterm' timed out. Killing.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1070975 (.exo-wrapped) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1071018 (python3.13) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Main process exited, code=killed, status=9/KILL
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Failed with result 'timeout'.
Feb 14 01:01:32 gremlin-1 systemd[1]: Stopped exo Distributed AI Inference Service.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Consumed 1min 31.946s CPU time, 16.7G memory peak, 10.9G read from disk, 408K written to disk, 8.7G incoming IP traffic, 197.1M outgoing IP traffic.
Feb 14 01:01:32 gremlin-1 systemd[1]: Starting exo Distributed AI Inference Service...
Feb 14 01:01:32 gremlin-1 systemd[1]: Started exo Distributed AI Inference Service.
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.020 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 2: NodeGatheredInfo(event_id='0dc4718f-bbc0-4393-904d-f27f1b930acd' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.021 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='55515e73-c5eb-48fd-b1ff-9ea4c842f90a' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.022 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='3b081680-9000-48a9-82f1-5700d2dcc667' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.024 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='0dc4718f-bbc0-4393-904d-f27f1b930acd' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.033 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 3: NodeGatheredInfo(event_id='890bfe13-abab-4ac0-adc6-ef18aacfdf8f' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.034 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 4: NodeGatheredInfo(event_id='fee40016-3565-42a5-8b8b-c2566f66be28' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.034 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='890bfe13-abab-4ac0-adc6-ef18aacfdf8f' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.035 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='fee40016-3565-42a5-8b8b-c2566f66be28' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.573 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 5: NodeDownloadProgress(event_id='d5e36cbb-9f7c-43f3-91ff-7b9e50d103f9' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.574 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 6: NodeDownloadProgress(event_id='f2f964e8-c1e0-4a5f-9dba-354bb2c052c8' download_progress=DownloadPendi
