Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.609 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1513: NodeDownloadProgress(event_id='3ac55440-3b08-4886-af83-79d98afcd753' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.609 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='3ac55440-3b08-4886-af83-79d98afcd753' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.634 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1514: NodeDownloadProgress(event_id='17d45010-56e0-4736-a660-34c9125fc003' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.635 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='17d45010-56e0-4736-a660-34c9125fc003' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.639 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1515: NodeDownloadProgress(event_id='d44f458d-6aa3-4321-ade8-56fb680d3027' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.640 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='d44f458d-6aa3-4321-ade8-56fb680d3027' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.651 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1516: NodeDownloadProgress(event_id='fa0691db-df5d-4adc-848b-a578a77c430f' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.651 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='fa0691db-df5d-4adc-848b-a578a77c430f' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.681 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1517: NodeDownloadProgress(event_id='8ff26c75-aaa5-4196-ae23-223ca13b0d01' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.682 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='8ff26c75-aaa5-4196-ae23-223ca13b0d01' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.689 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1518: NodeDownloadProgress(event_id='9c8d9abf-acc0-4f2c-a48c-0a58f324d185' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.690 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='9c8d9abf-acc0-4f2c-a48c-0a58f324d185' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.694 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1519: NodeDownloadProgress(event_id='f09d76e8-7c8f-43c6-a717-bfc84fecc01f' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.694 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='f09d76e8-7c8f-43c6-a717-bfc84fecc01f' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.718 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1520: NodeDownloadProgress(event_id='3d5356d0-e5c1-45df-9be1-e1d5b644d8ba' download_progress=DownloadCompl
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.720 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='3d5356d0-e5c1-45df-9be1-e1d5b644d8ba' download_progress=DownloadCompl
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.751 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1521: NodeDownloadProgress(event_id='27781826-1456-49d3-af61-1ffa1a9dd340' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.752 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='27781826-1456-49d3-af61-1ffa1a9dd340' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.758 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1522: NodeDownloadProgress(event_id='e1299f6d-8e4e-4648-957d-a117430555fd' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.758 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='e1299f6d-8e4e-4648-957d-a117430555fd' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.763 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.785 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1523: NodeDownloadProgress(event_id='0b5dbf1c-ed0b-41b8-889b-07ec3ac2a2c4' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.786 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='0b5dbf1c-ed0b-41b8-889b-07ec3ac2a2c4' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.792 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1524: NodeDownloadProgress(event_id='80e43d9e-950a-4c4f-9e68-71407ed0b8eb' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.793 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='80e43d9e-950a-4c4f-9e68-71407ed0b8eb' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.807 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1525: NodeDownloadProgress(event_id='f1f759b7-f00a-490e-b066-9f04e9d70376' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.807 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='f1f759b7-f00a-490e-b066-9f04e9d70376' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.811 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1526: NodeDownloadProgress(event_id='563110d3-58d2-4b05-946c-244573256be0' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.811 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='563110d3-58d2-4b05-946c-244573256be0' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.834 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1527: NodeDownloadProgress(event_id='dca5006e-fbdd-4375-a660-70dbe9801220' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.835 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='dca5006e-fbdd-4375-a660-70dbe9801220' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.855 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1528: NodeDownloadProgress(event_id='6dead0de-d667-46e8-a128-fa99f27dccd8' download_progress=DownloadCompl
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.856 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6dead0de-d667-46e8-a128-fa99f27dccd8' download_progress=DownloadCompl
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.881 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1529: NodeDownloadProgress(event_id='54f1f5a7-bf7b-49e2-814a-ea97b3f7d5c1' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.882 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='54f1f5a7-bf7b-49e2-814a-ea97b3f7d5c1' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.911 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1530: NodeDownloadProgress(event_id='887fa11e-9069-4195-b8df-3cea701a8912' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.911 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='887fa11e-9069-4195-b8df-3cea701a8912' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.963 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1531: NodeDownloadProgress(event_id='f9ef1d74-aebb-4557-9865-4ae6048c0119' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.963 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='f9ef1d74-aebb-4557-9865-4ae6048c0119' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.976 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1532: NodeDownloadProgress(event_id='d7519107-593d-4940-ba72-b4f694968e39' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.977 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='d7519107-593d-4940-ba72-b4f694968e39' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.988 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1533: NodeDownloadProgress(event_id='567f9ec4-1ae1-4fc4-b802-c883664d2079' download_progress=DownloadPendi
Feb 14 00:57:35 gremlin-1 exo[1070975]: [ 00:57:35.988 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='567f9ec4-1ae1-4fc4-b802-c883664d2079' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.005 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1534: NodeDownloadProgress(event_id='40ab35d0-a5ff-4fa5-932b-76b3ee75f3c3' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.006 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='40ab35d0-a5ff-4fa5-932b-76b3ee75f3c3' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.033 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1535: NodeDownloadProgress(event_id='5ddc9f60-87d0-4584-9059-d4e9d685d4f7' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.034 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='5ddc9f60-87d0-4584-9059-d4e9d685d4f7' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.067 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1536: NodeDownloadProgress(event_id='2dc5c08f-04cc-44e7-9992-4619060492ae' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.068 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='2dc5c08f-04cc-44e7-9992-4619060492ae' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.071 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1537: NodeDownloadProgress(event_id='b4fb5968-c608-45ed-a5cd-989364c94802' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.072 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='b4fb5968-c608-45ed-a5cd-989364c94802' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.101 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1538: NodeDownloadProgress(event_id='4020e251-f443-4060-9211-c42a9abd39df' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.101 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='4020e251-f443-4060-9211-c42a9abd39df' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.146 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1539: NodeDownloadProgress(event_id='6f21dbf3-4e8c-4e99-a12e-090c9b96fa93' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.147 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6f21dbf3-4e8c-4e99-a12e-090c9b96fa93' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.159 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1540: NodeDownloadProgress(event_id='18617919-392a-4895-a0c0-09ae8e19696b' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.160 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1541: NodeDownloadProgress(event_id='5fed3330-4b54-40ee-bab0-81941974fdc7' download_progress=DownloadPendi
