Feb 14 00:57:04 gremlin-1 exo[1070975]: [ 00:57:04.347 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='fc7e1be9-0734-45c3-9c24-8080015b62f6' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:04 gremlin-1 exo[1070975]: [ 00:57:04.521 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:05 gremlin-1 exo[1070975]: [ 00:57:05.348 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1467: NodeGatheredInfo(event_id='1e39a99f-b2f1-464c-b000-0539ce837c03' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:05 gremlin-1 exo[1070975]: [ 00:57:05.349 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='1e39a99f-b2f1-464c-b000-0539ce837c03' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:05 gremlin-1 exo[1070975]: [ 00:57:05.373 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /instance/previews
Feb 14 00:57:05 gremlin-1 exo[1070975]: [ 00:57:05.522 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:06 gremlin-1 exo[1070975]: [ 00:57:06.350 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1468: NodeGatheredInfo(event_id='d9d299bc-ca8f-4a06-ba93-0ffd5cc45e46' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:06 gremlin-1 exo[1070975]: [ 00:57:06.351 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='d9d299bc-ca8f-4a06-ba93-0ffd5cc45e46' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:06 gremlin-1 exo[1070975]: [ 00:57:06.522 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:07 gremlin-1 exo[1070975]: [ 00:57:07.351 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1469: NodeGatheredInfo(event_id='5d6e4209-e146-408f-aab5-97ef4ce646bc' node_id='12D3KooWCjXqiG6zEsjuomqSfS
